State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
CT,9,2850,New Milford School District,Litchfield County,5
CT,9,2880,Newington School District,Hartford County,3
CT,9,2910,Newtown School District,Fairfield County,1
CT,9,2940,Norfolk School District,Litchfield County,5
CT,9,2970,North Branford School District,New Haven County,9
CT,9,3000,North Canaan School District,Litchfield County,5
CT,9,3030,North Haven School District,New Haven County,9
CT,9,3060,North Stonington School District,New London County,11
CT,9,3090,Norwalk School District,Fairfield County,1
CT,9,3120,Norwich School District,New London County,11
CT,9,3180,Old Saybrook School District,Middlesex County,7
CT,9,3210,Orange School District,New Haven County,9
CT,9,3240,Oxford School District,New Haven County,9
CT,9,3270,Plainfield School District,Windham County,15
CT,9,3300,Plainville School District,Hartford County,3
CT,9,3330,Plymouth School District,Litchfield County,5
CT,9,3360,Pomfret School District,Windham County,15
CT,9,3390,Portland School District,Middlesex County,7
CT,9,3420,Preston School District,New London County,11
CT,9,3480,Putnam School District,Windham County,15
CT,9,3510,Redding School District,Fairfield County,1
CT,9,3600,Regional High School District 01,Litchfield County,5
CT,9,3630,Regional High School District 04,Middlesex County,7
CT,9,3660,Regional High School District 05,New Haven County,9
CT,9,3720,Regional High School District 07,Litchfield County,5
CT,9,3750,Regional High School District 08,Hartford County,3
CT,9,3750,Regional High School District 08,Tolland County,13
CT,9,3780,Regional High School District 09,Fairfield County,1
CT,9,3570,Regional High School District 11,Windham County,15
CT,9,5,Regional High School District 19,Tolland County,13
CT,9,5,Regional High School District 19,Windham County,15
CT,9,3515,Regional School District 06,Litchfield County,5
CT,9,3520,Regional School District 10,Hartford County,3
CT,9,3520,Regional School District 10,Litchfield County,5
CT,9,3530,Regional School District 12,Litchfield County,5
CT,9,3535,Regional School District 13,Middlesex County,7
CT,9,3536,Regional School District 14,Litchfield County,5
CT,9,3537,Regional School District 15,New Haven County,9
CT,9,3538,Regional School District 16,New Haven County,9
CT,9,3539,Regional School District 17,Middlesex County,7
CT,9,3540,Regional School District 18,New London County,11
CT,9,3810,Ridgefield School District,Fairfield County,1
CT,9,3840,Rocky Hill School District,Hartford County,3
CT,9,3900,Salem School District,New London County,11
CT,9,3930,Salisbury School District,Litchfield County,5
CT,9,3960,Scotland School District,Windham County,15
CT,9,3990,Seymour School District,New Haven County,9
CT,9,4020,Sharon School District,Litchfield County,5
CT,9,4050,Shelton School District,Fairfield County,1
CT,9,4080,Sherman School District,Fairfield County,1
CT,9,4110,Simsbury School District,Hartford County,3
CT,9,4140,Somers School District,Tolland County,13
CT,9,4170,South Windsor School District,Hartford County,3
CT,9,4230,Southington School District,Hartford County,3
CT,9,4260,Sprague School District,New London County,11
CT,9,4290,Stafford School District,Tolland County,13
CT,9,4320,Stamford School District,Fairfield County,1
CT,9,4350,Sterling School District,Windham County,15
CT,9,4380,Stonington School District,New London County,11
CT,9,4440,Stratford School District,Fairfield County,1
CT,9,4470,Suffield School District,Hartford County,3
CT,9,4500,Thomaston School District,Litchfield County,5
CT,9,4530,Thompson School District,Windham County,15
CT,9,4560,Tolland School District,Tolland County,13
CT,9,4590,Torrington School District,Litchfield County,5
CT,9,4620,Trumbull School District,Fairfield County,1
CT,9,4650,Union School District,Tolland County,13
CT,9,4680,Vernon School District,Tolland County,13
CT,9,4710,Voluntown School District,New London County,11
CT,9,4740,Wallingford School District,New Haven County,9
